fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,21
0,centroid,1,Alaris,Alcatras,3
0,centroid,1,Alaris,Hawk,1
0,centroid,1,Alaris,Mytikas,2
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alcatras,Alaris,3
0,centroid,1,Alcatras,Alcatras,19
0,centroid,1,Alcatras,Braga,1
0,centroid,1,Alcatras,Castor,3
0,centroid,1,Braga,Braga,32
0,centroid,1,Braga,Mytikas,2
0,centroid,1,Braga,Triton,2
0,centroid,1,Braga,Trius,1
0,centroid,1,Braga,Vega,1
0,centroid,1,Castor,Alcatras,1
0,centroid,1,Castor,Castor,31
0,centroid,1,Denom,Denom,34
0,centroid,1,Denom,Nivalis,1
0,centroid,1,Denom,Ratikon,2
0,centroid,1,Denom,Steel_Wheel,1
0,centroid,1,Gemini,Alaris,1
0,centroid,1,Gemini,Gemini,27
0,centroid,1,Hawk,Alcatras,1
0,centroid,1,Hawk,Hawk,25
0,centroid,1,Ilias,Denom,1
0,centroid,1,Ilias,Ilias,26
0,centroid,1,Ilias,Velorum,2
0,centroid,1,Mytikas,Mytikas,23
0,centroid,1,Mytikas,Triton,5
0,centroid,1,Nivalis,Denom,2
0,centroid,1,Nivalis,Ilias,2
0,centroid,1,Nivalis,Nivalis,18
0,centroid,1,Nivalis,Ratikon,1
0,centroid,1,Ratikon,Ilias,2
0,centroid,1,Ratikon,Ratikon,26
0,centroid,1,Steel_Wheel,Steel_Wheel,36
0,centroid,1,Triton,Braga,1
0,centroid,1,Triton,Ilias,1
0,centroid,1,Triton,Mytikas,1
0,centroid,1,Triton,Triton,50
0,centroid,1,Triton,Trius,1
0,centroid,1,Trius,Alaris,1
0,centroid,1,Trius,Braga,2
0,centroid,1,Trius,Gemini,1
0,centroid,1,Trius,Ilias,1
0,centroid,1,Trius,Trius,36
0,centroid,1,Turbine,Castor,2
0,centroid,1,Turbine,Mytikas,1
0,centroid,1,Turbine,Turbine,25
0,centroid,1,Vega,Vega,36
0,centroid,1,Velorum,Velorum,60
0,centroid,1,Xtreme,Xtreme,38
1,centroid,1,Alaris,Alaris,24
1,centroid,1,Alaris,Alcatras,2
1,centroid,1,Alaris,Gemini,1
1,centroid,1,Alaris,Triton,1
1,centroid,1,Alcatras,Alaris,2
1,centroid,1,Alcatras,Alcatras,23
1,centroid,1,Alcatras,Castor,1
1,centroid,1,Braga,Braga,33
1,centroid,1,Braga,Castor,1
1,centroid,1,Braga,Hawk,1
1,centroid,1,Braga,Triton,2
1,centroid,1,Braga,Turbine,1
1,centroid,1,Castor,Alaris,1
1,centroid,1,Castor,Alcatras,2
1,centroid,1,Castor,Castor,29
1,centroid,1,Denom,Denom,31
1,centroid,1,Denom,Ratikon,5
1,centroid,1,Denom,Steel_Wheel,1
1,centroid,1,Denom,Trius,1
1,centroid,1,Gemini,Denom,1
1,centroid,1,Gemini,Gemini,24
1,centroid,1,Gemini,Trius,1
1,centroid,1,Gemini,Vega,1
1,centroid,1,Hawk,Braga,1
1,centroid,1,Hawk,Hawk,25
1,centroid,1,Ilias,Ilias,28
1,centroid,1,Ilias,Ratikon,1
1,centroid,1,Mytikas,Mytikas,23
1,centroid,1,Mytikas,Triton,3
1,centroid,1,Mytikas,Trius,2
1,centroid,1,Nivalis,Denom,4
1,centroid,1,Nivalis,Nivalis,16
1,centroid,1,Nivalis,Ratikon,2
1,centroid,1,Ratikon,Denom,1
1,centroid,1,Ratikon,Ratikon,27
1,centroid,1,Steel_Wheel,Steel_Wheel,35
1,centroid,1,Triton,Braga,1
1,centroid,1,Triton,Mytikas,3
1,centroid,1,Triton,Triton,48
1,centroid,1,Triton,Trius,2
1,centroid,1,Trius,Alaris,3
1,centroid,1,Trius,Denom,1
1,centroid,1,Trius,Mytikas,2
1,centroid,1,Trius,Triton,5
1,centroid,1,Trius,Trius,29
1,centroid,1,Trius,Vega,1
1,centroid,1,Turbine,Castor,1
1,centroid,1,Turbine,Hawk,1
1,centroid,1,Turbine,Trius,1
1,centroid,1,Turbine,Turbine,25
1,centroid,1,Vega,Mytikas,1
1,centroid,1,Vega,Vega,34
1,centroid,1,Velorum,Castor,1
1,centroid,1,Velorum,Velorum,58
1,centroid,1,Xtreme,Gemini,1
1,centroid,1,Xtreme,Xtreme,37
2,centroid,1,Alaris,Alaris,26
2,centroid,1,Alaris,Alcatras,2
2,centroid,1,Alcatras,Alaris,1
2,centroid,1,Alcatras,Alcatras,22
2,centroid,1,Alcatras,Castor,2
2,centroid,1,Alcatras,Mytikas,1
2,centroid,1,Braga,Alcatras,3
2,centroid,1,Braga,Braga,31
2,centroid,1,Braga,Gemini,1
2,centroid,1,Braga,Triton,1
2,centroid,1,Braga,Turbine,1
2,centroid,1,Castor,Castor,32
2,centroid,1,Denom,Denom,30
2,centroid,1,Denom,Ilias,3
2,centroid,1,Denom,Nivalis,3
2,centroid,1,Denom,Velorum,2
2,centroid,1,Gemini,Gemini,25
2,centroid,1,Gemini,Vega,1
2,centroid,1,Gemini,Xtreme,1
2,centroid,1,Hawk,Hawk,24
2,centroid,1,Hawk,Mytikas,1
2,centroid,1,Hawk,Turbine,1
2,centroid,1,Ilias,Ilias,26
2,centroid,1,Ilias,Nivalis,1
2,centroid,1,Ilias,Ratikon,1
2,centroid,1,Ilias,Turbine,1
2,centroid,1,Mytikas,Alaris,1
2,centroid,1,Mytikas,Mytikas,21
2,centroid,1,Mytikas,Triton,3
2,centroid,1,Mytikas,Trius,3
2,centroid,1,Nivalis,Denom,3
2,centroid,1,Nivalis,Nivalis,17
2,centroid,1,Nivalis,Ratikon,1
2,centroid,1,Nivalis,Velorum,1
2,centroid,1,Ratikon,Denom,2
2,centroid,1,Ratikon,Gemini,1
2,centroid,1,Ratikon,Ilias,1
2,centroid,1,Ratikon,Ratikon,24
2,centroid,1,Steel_Wheel,Steel_Wheel,35
2,centroid,1,Triton,Alcatras,2
2,centroid,1,Triton,Castor,1
2,centroid,1,Triton,Mytikas,1
2,centroid,1,Triton,Triton,45
2,centroid,1,Triton,Trius,4
2,centroid,1,Trius,Alaris,1
2,centroid,1,Trius,Denom,1
2,centroid,1,Trius,Nivalis,1
2,centroid,1,Trius,Triton,2
2,centroid,1,Trius,Trius,36
2,centroid,1,Turbine,Alcatras,1
2,centroid,1,Turbine,Braga,1
2,centroid,1,Turbine,Castor,2
2,centroid,1,Turbine,Hawk,1
2,centroid,1,Turbine,Turbine,23
2,centroid,1,Vega,Alcatras,1
2,centroid,1,Vega,Vega,34
2,centroid,1,Velorum,Ilias,1
